X,Y,PLOT,Tall1_sp,Tall1_ht,Tall2_sp,Tall2_ht,Tall3_sp,Tall3_ht,Tall4_sp,Tall4_ht,Tall5_sp,Tall5_ht
800,143,LGMA_Ex,AGE,102,AGE,100,AGE,99,DES,79,DES,74
800,143,LGMA_OP,AGE,90,RUB,85,AGE,82,AGE,73,AGE,71
802,144,LGMB_Ex,DES,119,DES,115,ASPEN,88,DES,54,RUB,44
802,144,LGMB_OP,RUB,69,GRASS,68,RUB,42,DES,37,DES,32
804,145,LGMC_Ex,RUB,107,AMP,90,DES,56,AGE,46,AMP,46
804,145,LGMC_OP,RUB,59,AMP,49,DES,44,GEUM,43,DES,40
816,152,LGMD_Ex,RUB,95,AMP,39,DES,38,CIR,44,CIR,40
816,152,LGMD_OP,AMP,48,AMP,45,FERN,44,DES,42,AMP,40
816,154,LGME_Ex,RIB,99,ASH,70,DES,68,DES,62,DES,59
816,154,LGME_OP,RUB,92,AMP,66,RUB,54,DES,36,AMP,36
814,152,LGMF_Ex,GOLD,80,AMP,74,GOLD,62,GRASS,54,GOLD,62.5
814,152,LGMF_OP,AMP,31.5,YAM,31,DES,30,AMP,32,GER,31.5
818,182,HGMC_Ex,LAP,103,RIB,102,LAP,101,DES,101,LAP,101
818,182,HGMC_OP,RIB,121,CRY,62,DES,61,DES,47,PHR,46
816,180,HGMB_Ex,ASH,68,PHR,66,DES,60,DES,62,CRY,52
816,180,HGMB_OP,CRY,84,CRY,76,BOX,66,CRY,64,CRY,64
814,178,HGMA_Ex,RUB,126,GRASS,105,RUB,90,AMP,78,CIR,77
814,178,HGMA_OP,DES,99,AMP,75,CRY,83,CRY,80,RUB,46
820,178,HGMD_Ex,CRY,99,CRY,93,GOLD,85,CRY,72,ASH,70
820,178,HGMD_OP,AMP,47,DES,45,GRASS,55,LAP,54,GRASS,53
818,176,HGME_Ex,,,,,,,,,,
818,176,HGME_OP,,,,,,,,,,
818,174,HGMF_Ex,RIB,136,PHR,97,LAP,100,LAP,92,GOLD,83
818,174,HGMF_OP,DES,102,DES,94,CRY,72,DES,70,PHR,58
